id,taste,receptor_name,uniprot_id
794,odor,OR4C15,A0A126GVX1
795,odor,OR1N1,A0A087WXB1
796,odor,OR6F1,A0A126GWN2
797,odor,OR2B11,A0A126GWG4
798,odor,OR2Z1,A0A126GVT8
799,odor,OR9A4,A0A126GVB1
800,odor,OR7D4,A0A126GVR1
801,odor,OR51A4,A0A126GVF3
802,odor,OR3A1,A0A126GWJ3
803,odor,"OLFR 42A",O43625
804,odor,,Q8NHD6
805,odor,OR5R1,A0A126GVI0
806,odor,OR7C1,A0A126GWU6
807,odor,OR1N2,A0A087X0D1
808,odor,OR2C1,A0A126GVY2
809,odor,OR51A2,A0A126GWD5
810,odor,OR7C1,A0A126GWV8
811,odor,OR17-137,O43878
812,odor,,Q6IFM2
813,odor,OR11A1,A2RRF6
814,odor,,Q8NH14
815,odor,OR4C6,A0A126GVN0
816,odor,OR1M1,A0A126GVI5
817,odor,OR4E1,A0A126GWU0
818,odor,OR7D4,A0A126GWT1
819,odor,,A0A1U9X880
820,odor,OR10Q1,A0A126GVI6
821,odor,OR5AU1,A0A126GW30
822,odor,OR52E8,A0A126GVH0
823,odor,OR1D2,A0A126GWN6
824,odor,"OLFR 42B",O43626
825,odor,OR2F1,A0A126GWI1
826,odor,,Q86UG9
827,odor,OR10C1,A0A140TA55
828,odor,"OR2M7 N",A0A126GVZ1
829,odor,OR7G2,A0A126GWN7
830,odor,OR5D14,A0A126GWL4
831,odor,OR17-15,O43879
832,odor,,Q6IFI8
833,odor,OR6T1,A0A126GVI2
834,odor,OR6C74,A0A126GW13
835,odor,OR13C7,A0A126GVA0
836,odor,,Q8NH68
837,odor,OR10A3,A0A126GVZ2
838,odor,OR5A2,A0A126GVD5
839,odor,OR2T1,A0A126GWM2
840,odor,,Q6IFR1
841,odor,OR51E1,A0A126GWC7
842,odor,OR2B8,A0A126GVB6
843,odor,OR2H2,A0A126GVA2
844,odor,,Q8IXD9
845,odor,OR5AL1,A0A126GWL2
846,odor,OR10X1,A0A126GVW1
847,odor,OR51I1,A0A126GWE7
848,odor,OR4K1,A0A126GVR2
849,odor,OR2T1,A0A126GVY3
850,odor,OR9G1,A0A126GWM9
851,odor,,Q8NH75
852,odor,OR8J1,A0A126GW97
853,odor,OR2T2,A0A126GWE6
854,odor,,Q8NGX7
855,odor,OR5W2,A0A126GW80
856,odor,OR9A2,A0A126GVB2
857,odor,OR6N2,A0A126GV57
858,odor,PJCG1,Q8WZ87
859,odor,,Q6IEZ2
860,odor,OR5C1,A0A126GW42
861,odor,OR6S1,A0A126GWQ0
862,odor,OR2L3,A0A126GWB4
863,odor,,Q86UG8
864,odor,,A0A1U9X877
865,odor,OR1N1,A0A126GWH7
866,odor,OR2B11,A0A126GWG0
867,odor,OR2F1,A0A126GV98
868,odor,OR51E1,E9PKL6
869,odor,OR5T1,A0A126GW11
870,odor,OR7-140,O43887
871,odor,,Q9H2C6
872,odor,OR14J1,A0A126GVW3
873,odor,OR2F2,B2RNC7
874,odor,OR7C1,A0A126GWS9
875,odor,OR10A4,A0A126GWA1
876,odor,OR10A2,A0A126GVI7
877,odor,OR52I2,A0A126GVX7
878,odor,OR2C3,A0A126GW27
879,odor,,Q6IFA1
880,odor,,B3KVN8
881,odor,OR8B12,A0A126GWS7
882,odor,,Q6IFL7
883,odor,,Q8NGE6
884,odor,OR6F1,A0A126GWL5
885,odor,OR8D4,A0A126GV90
886,odor,OR9G1,A0A126GWM8
887,odor,,Q8NH44
888,odor,OR10J1,A0A126GWQ9
889,odor,OR7D4,A0A126GWD3
890,odor,OR5B21,A0A126GW90
891,odor,OR10AG1,A0A126GVM8
892,odor,OR2T5,A0A126GV85
893,odor,OR14A16,A0A126GV53
894,odor,OR3A1,A0A087X1K4
895,odor,OR13C5,A0A126GW47
896,odor,OR13F1,A0A126GVA8
897,odor,OR6X1,A0A126GVM0
898,odor,OR7A10,A0A126GVC8
899,odor,OR5K3,A0A126GWB6
900,odor,,Q8NH47
901,odor,,Q8NH96
902,odor,OR1L8,A0A126GVC5
903,odor,OR1D2,A0A126GWN9
904,odor,OR4A5,B9EIN5
905,odor,OR5M10,A0A126GVF6
906,odor,OR10A2,A0A126GW72
907,odor,OR2A25,A0A126GVV5
908,odor,OR4N4,A0A126GVN2
909,odor,OR51M1,A0A126GVC6
910,odor,,A0A1U9X855
911,odor,OR52B2,A0A126GVK7
912,odor,OR2AG2,B9EIM0
913,odor,,Q8NG79
914,odor,OR2M2,A0A126GW69
915,odor,OR1N2,A0A126GW94
916,odor,OR1C1,A0A126GV94
917,odor,OR1J4,A3KME5
918,odor,,Q6IFK7
919,odor,OR4F4,A0A126GWD4
920,odor,OR51H1,A0A126GVH7
921,odor,OR10C1,A0A126GVZ5
922,odor,OR2M3,A0A126GV67
923,odor,OR8U8,A0A126GW66
924,odor,OR4P4,A0A126GVX4
925,odor,OR8I2,A0A126GVJ9
926,odor,OR13F1,B9EIM5
927,odor,tpcr24,Q15616
928,odor,OR2D3,A0A126GW08
929,odor,OR2Y1,A0A126GVA6
930,odor,OR2T1,A0A126GW40
931,odor,PJCG2,Q8WZ85
932,odor,OR52E5,A0A126GVC3
933,odor,OR6B2,I0EZ57
934,odor,OR52K1,A0A126GWP0
935,odor,OR5D14,A0A126GWL9
936,odor,OR51T1,A0A0C4DFX5
937,odor,OR2T6,A0A126GW03
938,odor,OR4K3,A0A126GVQ8
939,odor,OR51B2,Q17R53
940,odor,OR4M1,A0A126GWC3
941,odor,OR2T32,A0A126GWP8
942,odor,OR51F2,A0A126GVT6
943,odor,,Q8NH24
944,odor,OR6C6,A0A126GW15
945,odor,,A0A1U9X883
946,odor,,A0A1U9X884
947,odor,,Q52R94
948,odor,OR4F17,A0A126GVH1
949,odor,,Q6IFI9
950,odor,,Q8NH62
951,odor,OR7-139,O43886
952,odor,OR5AL1,A0A126GVW9
953,odor,OR2A5,A0A126GW49
954,odor,OR2S2,A0A126GW56
955,odor,OR16-36,O43871
956,odor,,A0A1U9X848
957,odor,OR52E6,J3KPH0
958,odor,OR13A1,A0A126GW17
959,odor,OR2T34,B9EGY8
960,odor,OR11H6,A0A126GW52
961,odor,OR4F16,A0A126GV92
962,odor,"OLFR 17-210",Q9UM77
963,odor,OR1D2,A0A126GWP7
964,odor,OR5AU1,A0A126GVW7
965,odor,OR10X1,A0A126GWA4
966,odor,OR2V1,A0A126GWQ1
967,odor,OR11H4,A0A126GW19
968,odor,OR1J1,A0A126GWP9
969,odor,OR6F1,A0A126GV68
970,odor,OR51F1,A0A126GWK7
971,odor,OR4D1,A0A126GVS4
972,odor,OR9G1,A0A126GWM5
973,odor,OR9K2,A0A126GW01
974,odor,OR5P3,A0A126GVE6
975,odor,OR6B3,A0A126GW38
976,odor,OR10R2,A0A126GVU0
977,odor,OR4A16,B9EIN3
978,odor,,Q6IFM7
979,odor,OR2A1,H9XFB0
980,odor,,Q6IFR3
981,odor,OR13C3,A0A126GVY1
982,odor,OR13C3,A0A126GVY9
983,odor,OR10AD1,A0A126GWC9
984,odor,OR6C75,A0A126GW92
985,odor,OR2A1,H9XFB2
986,odor,OR2J3,A0A126GWT6
987,odor,,Q52R93
988,odor,OR4K15,A0A126GWD1
989,odor,OR4C3,A0A126GVR6
990,odor,OR7D2,A0A126GVY4
991,odor,OR52L1,A0A126GVE0
992,odor,OR5K2,A0A126GVB4
993,odor,OR2AT4,A0A126GWB1
994,odor,OR2C1,A0A126GVX2
995,odor,OR6C68,A0A126GW23
996,odor,OR10Z1,A0A126GV63
997,odor,OR8B3,A0A126GWT8
998,odor,OR10A5,A0A126GWR0
999,odor,OR5K1,A0A126GWC1
1000,odor,,Q8NH36
1001,odor,OR2A14,A0A126GVB0
1002,odor,OR7G1,A0A126GVS6
1003,odor,OR2C1,A0A126GVU4
1004,odor,OR8K5,A0A126GVE4
1005,odor,OR14L1,A0A126GV55
1006,odor,OR14A16,A0A126GWP4
1007,odor,,Q8NH29
1008,odor,,A0A1U9X851
1009,odor,OR11G2,A0A126GWS8
1010,odor,OR4C3,A0A087X172
1011,odor,OR5D18,A0A126GVI8
1012,odor,OR7A5,A0A126GW60
1013,odor,OR14A2,A0A126GWG2
1014,odor,OR1E2,A0A126GW63
1015,odor,OR4F21,A0A126GWE2
1016,odor,,Q96R43
1017,odor,OR2J2,A0A126GW07
1018,odor,OR2B11,A0A126GVY5
1019,odor,OR8U1,A0A126GVR7
1020,odor,OR4A47,B9EIM4
1021,odor,OR6C70,A0A126GW26
1022,odor,OR51V1,A0A126GWQ7
1023,odor,OR51I2,B9EIL6
1024,odor,,Q6IEV0
1025,odor,OR2AK2,A0A126GVZ3
1026,odor,OR2B11,A0A126GWH8
1027,odor,OR5AL1,A0A126GWL7
1028,odor,,Q8NG73
1029,odor,OR2T29,A0A126GWF8
1030,odor,,O43789
1031,odor,OR16-89,O43874
1032,odor,OR2A1,A0A126GVC1
1033,odor,,Q8NGF2
1034,odor,OR17-130,O43876
1035,odor,OR5B2,A0A126GVM9
1036,odor,OR5H15,A0A1X7SC13
1037,odor,OR51E1,A0A126GWG9
1038,odor,OR52N4,A0A126GVF0
1039,odor,OR8G5,B2RND4
1040,odor,OR2G3,A0A126GVX0
1041,odor,OR2A25,A0A126GWJ6
1042,odor,OR4F5,A0A126GWG7
1043,odor,OR1E5,A0A126GVS0
1044,odor,OR4C16,A0A126GVL7
